id,{,},CreaVentana,(,",",num,),;,CreaLabel,CreaBoton,CreaTextbox,CreaEvento,Main,if,else,repeat,until,:=,while,switch,case,break,default,for,=,:,CierraVentana,LeeTextBox,Loop,ImprimeTextBox,Concat,Mbox,==,>,<,>=,<=,!=,+,-,int,float,string,vent,textBox,label,boton,^,*,/,$,programa',programa,estructura,def,def-func,def-vent,def-ctrl,crea-control,def-evnt,def-main,secuencia-sent,sentencia,sent-if,sent-repeat,sent-assign,sent-while,sent-switch,secuencia-case,sentencia-case,sentencia-default,sent-for,sent-func,sent-declara,identificadores,exp,op-comparacion,exp-simple,opsuma,tipo,term,potencia,opmult,factor,const,variable
r18, ,r18,r18, , , , , ,r18,r18,r18,r18, ,r18, ,r18, , ,r18,r18, , , ,r18, , ,r18,r18,r18,r18,r18,r18, , , , , , , , ,r18,r18,r18,r18,r18,r18,r18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
r19, ,r19,r19, , , , , ,r19,r19,r19,r19, ,r19, ,r19, , ,r19,r19, , , ,r19, , ,r19,r19,r19,r19,r19,r19, , , , , , , , ,r19,r19,r19,r19,r19,r19,r19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
r20, ,r20,r20, , , , , ,r20,r20,r20,r20, ,r20, ,r20, , ,r20,r20, , , ,r20, , ,r20,r20,r20,r20,r20,r20, , , , , , , , ,r20,r20,r20,r20,r20,r20,r20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
r21, ,r21,r21, , , , , ,r21,r21,r21,r21, ,r21, ,r21, , ,r21,r21, , , ,r21, , ,r21,r21,r21,r21,r21,r21, , , , , , , , ,r21,r21,r21,r21,r21,r21,r21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
r22, ,r22,r22, , , , , ,r22,r22,r22,r22, ,r22, ,r22, , ,r22,r22, , , ,r22, , ,r22,r22,r22,r22,r22,r22, , , , , , , , ,r22,r22,r22,r22,r22,r22,r22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
r23, ,r23,r23, , , , , ,r23,r23,r23,r23, ,r23, ,r23, , ,r23,r23, , , ,r23, , ,r23,r23,r23,r23,r23,r23, , , , , , , , ,r23,r23,r23,r23,r23,r23,r23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
r24, ,r24,r24, , , , , ,r24,r24,r24,r24, ,r24, ,r24, , ,r24,r24, , , ,r24, , ,r24,r24,r24,r24,r24,r24, , , , , , , , ,r24,r24,r24,r24,r24,r24,r24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
r25, ,r25,r25, , , , , ,r25,r25,r25,r25, ,r25, ,r25, , ,r25,r25, , , ,r25, , ,r25,r25,r25,r25,r25,r25, , , , , , , , ,r25,r25,r25,r25,r25,r25,r25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
r26, ,r26,r26, , , , , ,r26,r26,r26,r26, ,r26, ,r26, , ,r26,r26, , , ,r26, , ,r26,r26,r26,r26,r26,r26, , , , , , , , ,r26,r26,r26,r26,r26,r26,r26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
r27, ,r27,r27, , , , , ,r27,r27,r27,r27, ,r27, ,r27, , ,r27,r27, , , ,r27, , ,r27,r27,r27,r27,r27,r27, , , , , , , , ,r27,r27,r27,r27,r27,r27,r27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , ,s60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,s61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , ,s63, , , , , , , , , , , , , ,s62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , ,s64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , ,s65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , ,s66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , ,s67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , ,s68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , ,s69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , ,s70, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , ,s71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , ,s72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , ,s73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
r9, ,r9,r9, , , , , ,r9,r9,r9,r9, ,r9, ,r9, , ,r9,r9, , , ,r9, , ,r9,r9,r9,r9,r9,r9, , , , , , , , ,r9,r9,r9,r9,r9,r9,r9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , ,s74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
